class,median,standard deviation,mean,kurtosis
nao_tiro,-0.000299441,1614475999.952956438,-5670891.37923764300,23.7403485800
nao_tiro,-0.000370388,2012644730.505269527,-196254212.324177831,16.2253676250
nao_tiro,-0.000507946,1373584441.365279436,-14464487.3171540440,31.8130597810
nao_tiro,0.0000000000,2286817298.110712051,-1914214.47848183000,9.55943442500
nao_tiro,0.0000000000,2286817298.110712051,-1914214.47848183000,9.55943442500
nao_tiro,0.0000000000,2286817298.110712051,-1914214.47848183000,9.55943442500
nao_tiro,-0.000111176,3087327052.225790977,-4818210.06480328100,6.11858343600
nao_tiro,-0.000103168,969494430.3921343090,-5995803.93114852600,61.3241069210
nao_tiro,0.0001013870,2490069728.662026882,318785.2202016310000,9.18037104700
nao_tiro,-0.000102567,3509448129.828909874,14871219.06589632500,4.56408833800
3m_tiro,0.00010173900,3278848397.086317539,6685524.17452969100,5.036265482000
3m_tiro,0.00010393100,3487636910.371442795,63662402.2691012250,4.586533690000
3m_tiro,0.00017014100,2581495057.442473412,138688074.106415838,7.134044654000
3m_tiro,0.00013649500,2696789353.987082481,110745142.492233381,6.633526523000
3m_tiro,0.02496276600,471174530.8988825680,-6780359.0935204380,273.6377261950
3m_tiro,0.00000000000,738556019.3876618150,-6781197.2892148080,110.0039886560
3m_tiro,0.00000000000,559979215.9423800710,-2133107.1828547240,195.0594079770
3m_tiro,0.02496276600,471142674.8553472760,-6777554.9781562510,273.6592388420
3m_tiro,0.03930030200,247125095.2791497110,8053800.15921734600,1155.883378988
3m_tiro,-0.0001789230,618436567.8824384210,940202.294485028000,151.1005000280
