class,median,standard deviation,mean,kurtosis
3m_back_gunshot,1,0.744224231,0.4565924972,0.4426975329
3m_back_gunshot,0.8203647182,0.7641362301,0.4058959846,0.4077060297
3m_back_gunshot,0.5394274234,0.8067897968,1,0.3338409259
3m_back_gunshot,0.00000001402103697,0.9299495564,0.04620198433,0.3126589495
3m_back_gunshot,0.00000001807974346,0.9838637542,0.02024999246,0.2784268207
3m_back_gunshot,0.00000001857951165,1,0.2667202216,0.2743231734
3m_back_gunshot,-0.00000001065637677,0.6441733522,0.2157601994,0.4794280527
3m_back_gunshot,-0.00000001118017618,0.6127704696,-1.831342296,0.632224297
3m_back_gunshot,-0.00000001120024727,0.6644312928,-0.4699532359,0.5911881108
3m_back_gunshot,0.000000003080110497,0.6230499806,-0.05428412519,0.7568218156
3m_back_gunshot,0.000000002606846192,0.5371233961,-0.06359235122,1
3m_back_gunshot,0.000000002876656493,0.5648398796,-0.0106753462,0.9167814521
3m_front_gunshot,1,1,0.8459002012,0.009101109756
3m_front_gunshot,0,0.339227449,0.3502404079,0.09053698183
3m_front_gunshot,0,0.2323050678,0.4847843495,0.1766992683
3m_front_gunshot,0,0.3059507,-0.8264402762,0.1057764516
3m_front_gunshot,0.000004939074451,0.2055325249,-0.8371024883,0.2380436749
3m_front_gunshot,0,0.3058897387,-0.8261109477,0.1058186176
3m_front_gunshot,0,0.223533099,0.158459442,0.2015813008
3m_front_gunshot,0.000004939074451,0.2055325249,-0.8371024883,0.2380436749
3m_front_gunshot,0.000007713282132,0.1080610339,1,1
3m_front_gunshot,0,0.2323489131,0.484967369,0.1766325867
3m_front_gunshot,-0.0000001348377743,0.1742719378,-1.37582869,0.3016159464
3m_front_gunshot,-0.00000009074666928,0.7410177052,-28.48142599,0.01338749032
3m_side_gunshot,0.6843628328,0.9133258967,0.7613088553,0.3090592804
3m_side_gunshot,0.5402504472,0.9247236861,0.645782559,0.3290481637
3m_side_gunshot,1,0.871636359,1,0.3065662664
3m_side_gunshot,0.00000007746737872,0.9795670612,0.2898598924,0.283879959
3m_side_gunshot,0.00000001088214248,0.9765675336,-0.02043828733,0.3276155247
3m_side_gunshot,0.00000006274592234,1,0.1041230231,0.2761689495
3m_side_gunshot,0.00000000946427444,0.7130648858,-0.1575723743,0.5992404665
3m_side_gunshot,0.00000000809391771,0.6940045199,-0.1223166109,0.6490473533
3m_side_gunshot,0.000000008610649269,0.6773154426,-0.08208248033,0.6674168045
3m_side_gunshot,-0.00000002849636957,0.650925283,0.9092453088,0.5398941717
3m_side_gunshot,-0.00000002927228244,0.4631255876,0.893026465,1
3m_side_gunshot,-0.00000002624381774,0.6223905551,-2.726751757,0.5924051249
1m_back_gunshot,0.000000003542482399,0.6149704077,0.06862652932,0.9863759146
1m_back_gunshot,0.000000003995539589,0.6983181513,-0.01666144366,0.7781482557
1m_back_gunshot,0.6290143698,0.8126260517,-0.2655281506,0.507307335
1m_back_gunshot,1,0.7611482696,-0.4435213607,0.5953013463
